date,portfolio_invested,portfolio_value,nifty50_close,niftymidcap50_close,basket,portfolio_index,nifty50_index,niftymidcap50_index
2026-08-04,10929608.44,12195633.23,24614.900390625,18215.849609375,old_89,100.0,100.0,100.0
2026-08-05,10929608.44,12237496.12,24624.650390625,18218.44921875,old_89,100.34,100.04,100.01
2026-08-06,10929608.44,12221771.88,24636.0,18125.25,old_89,100.21,100.09,99.5
2026-08-07,10929608.44,12257142.19,24570.650390625,18172.599609375,old_89,100.5,99.82,99.76
2026-08-10,10929608.44,12275200.72,24583.80078125,18298.900390625,old_89,100.65,99.87,100.46
2026-08-11,10929608.44,12240097.06,24471.69921875,18312.349609375,old_89,100.36,99.42,100.53
2026-08-12,10929608.44,12245127.87,24435.94921875,18355.94921875,old_89,100.41,99.27,100.77
2026-08-13,10929608.44,12222432.9,24395.849609375,18396.349609375,old_89,100.22,99.11,100.99
2026-08-14,10929608.44,12210557.61,24366.0,18260.650390625,old_89,100.12,98.99,100.25
2026-08-17,10929608.44,12202725.39,24287.650390625,18279.0,old_89,100.06,98.67,100.35
2026-08-18,10929608.44,12410738.45,24154.900390625,18216.80078125,old_89,101.76,98.13,100.01
2026-08-19,10929608.44,12327289.99,24078.30078125,18220.69921875,old_89,101.08,97.82,100.03
2026-08-20,10929608.44,12371823.45,24231.849609375,18300.650390625,old_89,101.44,98.44,100.47
2026-08-21,10929608.44,12369865.81,24252.0,18320.25,old_89,101.43,98.53,100.57
2026-08-24,10929608.44,12347423.23,24219.05078125,18331.75,old_89,101.24,98.39,100.64
2026-08-25,10929608.44,12415918.82,24334.55078125,18412.25,old_89,101.81,98.86,101.08
2026-08-26,10929608.44,12423198.17,24207.75,18380.599609375,old_89,101.87,98.35,100.9
2026-08-27,10929608.44,12401118.94,24090.849609375,18361.75,old_89,101.68,97.87,100.8
2026-08-28,10929608.44,12418713.93,24175.650390625,18405.80078125,old_89,101.83,98.22,101.04
2026-08-31,10929608.44,12387142.68,24080.400390625,18491.44921875,old_89,101.57,97.83,101.51
2026-09-01,10929608.44,12338269.89,24055.80078125,18248.80078125,old_89,101.17,97.73,100.18
2026-09-02,10929608.44,12261874.01,23914.44921875,18120.19921875,old_89,100.54,97.15,99.47
2026-09-03,10929608.44,12295368.23,23873.44921875,18170.25,old_89,100.82,96.99,99.75
2026-09-04,10929608.44,12275116.88,23897.69921875,18127.75,old_89,100.65,97.09,99.52
2026-09-05,11811350.45,13265579.72,23897.69921875,18127.75,new_92,108.77,97.09,99.52
