Name,Quantity,Avg. Price,LTP,Invested Value,Current Value,Profit/Loss,Profit/Loss %,Todays Profit/Loss,Todays Profit/Loss %,Yahoo Ticker,Price Source,Price Date,Last Refreshed,Technical Downloaded,Technical Status,Technical Score,Technical Note,RS vs 50D %,RS 3M %,RS Leader,RSI 14,P&F Signal,Above 50DMA,Above 200DMA,50DMA Distance %,200DMA Distance %,52W High Distance %,Technical Error,RS Trend
ECLERX ,36.0,1997.13,1967.300048828125,71896.68000000001,70822.8017578125,-1073.8782421875076,-1.4936409333330931,-1339.1982421875,-1.8558219591855771,ECLERX.NS,ECLERX.NS,2026-09-03,2026-09-03T13:48+05:30,True,Leader / hold,100.0,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone; p&f shows a bullish breakout,10.521543603873628,35.2417591299055,True,60.96,Bullish P&F breakout,True,True,10.81622516749141,8.671828682405769,-20.42083018873887,,"[100.0,97.79,99.53,98.26,100.23,107.04,106.37,111.31,113.55,112.96,104.98,102.87,100.96,100.44,104.92,102.01,103.55,106.14,105.8,103.88,102.05,101.37,100.32,103.2,98.46,95.87,94.36,95.57,96.47,94.03,93.21,95.07,94.47,95.91,96.98,96.11,94.06,95.77,92.29,92.67,93.9,90.29,88.54,88.44,91.88,98.44,98.63,98.84,98.68,102.56,105.59,108.1,112.33,111.72,115.05,129.83,122.38,125.06,128.01,125.59,123.6,118.78,124.15,126.89,124.64,119.86,123.5,123.89,123.78,121.47,114.47,113.31,115.3,115.96,119.49,122.16,118.94,116.53,118.29,115.97,116.61,116.99,120.1,124.44,124.36,125.0,125.78,127.26,130.15,127.61]"
HCLTECH ,81.0,1575.01,1316.800048828125,127575.81,106660.80395507812,-20915.006044921876,-16.394178524064927,-1190.696044921875,-1.1040143576323658,HCLTECH.NS,HCLTECH.NS,2026-09-03,2026-09-03T13:48+05:30,True,Constructive,60.0,Price is above the 50dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone,4.288284506930262,9.24588674301936,True,51.67,"Rising P&F column, no fresh breakout yet",True,False,4.586308126236438,-2.9099150670968132,-21.61112873182115,,"[100.0,100.41,101.19,100.7,100.6,97.52,95.7,96.86,97.39,95.71,94.93,92.26,93.42,94.64,96.49,95.24,95.36,94.88,94.09,93.31,93.5,96.43,98.54,102.48,97.71,96.41,95.65,96.27,94.69,94.85,93.79,91.56,91.12,93.78,94.13,93.43,90.91,90.48,89.61,89.71,89.16,89.64,86.79,83.17,86.26,91.25,90.46,93.17,92.71,91.85,91.84,96.18,92.41,92.26,94.06,96.64,97.44,98.61,99.58,101.27,103.3,103.99,105.59,106.97,107.99,107.07,108.29,108.24,106.65,106.01,107.44,106.75,107.32,107.06,107.19,107.19,104.33,102.55,104.65,103.69,102.33,103.79,102.86,101.68,100.49,102.92,102.14,106.58,105.76,104.5]"
M&MFIN ,288.0,346.8,375.1000061035156,99878.4,108028.8017578125,8150.401757812491,8.160324712663089,3081.603515625,2.9363370983125803,M&MFIN.NS,M&MFIN.NS,2026-09-03,2026-09-03T13:48+05:30,True,Risk review,55.0,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone; p&f shows a bearish breakdown,3.4695034841819794,26.384402824392296,True,49.15,Bearish P&F breakdown,True,True,3.7038755204325424,11.142683020064892,-8.961916755623845,,"[100.0,98.16,100.59,98.46,95.69,96.17,100.8,99.74,102.91,103.15,102.55,99.81,98.9,99.31,98.32,98.2,94.46,92.55,91.69,93.52,92.0,91.96,92.88,91.37,91.07,90.42,89.57,90.16,88.15,88.4,87.22,87.45,90.18,91.04,90.5,90.12,89.39,88.71,88.34,88.33,94.0,99.94,96.3,96.02,95.17,95.54,100.49,99.37,99.48,100.78,100.96,100.97,100.61,98.86,98.55,97.89,98.9,97.8,105.78,115.66,114.52,110.12,110.71,113.67,119.08,119.1,116.54,121.2,119.7,119.62,117.34,122.95,123.25,119.13,117.96,117.87,116.86,116.38,115.97,116.96,114.32,113.94,113.0,113.33,114.68,114.2,111.92,110.34,109.23,113.2]"
AUROPHARMA ,99.0,1222.75,1658.699951171875,121052.25,164211.29516601562,43159.045166015625,35.65323665278062,-2435.40966796875,-1.4614208366105608,AUROPHARMA.NS,AUROPHARMA.NS,2026-09-03,2026-09-03T13:48+05:30,True,Leader / hold,100.0,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone; p&f shows a bullish breakout,3.6310850999005995,7.872964309252106,True,56.1,Bullish P&F breakout,True,True,4.0046822623879486,20.95309571041839,-3.395460036582698,,"[100.0,100.16,98.4,98.74,97.19,100.8,102.48,100.7,101.22,102.02,104.68,104.71,104.43,105.0,104.29,104.22,104.03,106.31,100.45,98.87,98.81,97.02,97.84,99.54,99.18,100.52,101.7,102.0,102.22,100.79,102.55,104.15,102.34,96.53,95.17,96.63,97.76,101.32,100.55,104.34,103.8,106.08,105.96,107.64,105.14,105.17,109.32,107.09,106.32,106.13,106.72,103.94,102.75,103.56,103.11,103.29,102.6,103.72,104.76,102.88,103.31,103.78,103.64,103.4,105.51,104.89,104.7,101.91,104.45,106.24,105.17,109.46,108.05,108.62,108.95,108.48,106.57,106.8,108.33,106.96,105.41,106.17,105.23,105.41,105.93,106.96,107.24,111.4,110.66,109.71]"
OBEROIRLTY ,72.0,1824.43,1894.5,131358.96,136404.0,5045.040000000008,3.840651600773947,993.603515625,0.7337719565274625,OBEROIRLTY.NS,OBEROIRLTY.NS,2026-09-03,2026-09-03T13:48+05:30,True,Leader / hold,80.0,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone,1.93827374825013,10.609336002544655,True,57.72,"Rising P&F column, no fresh breakout yet",True,True,2.361782458568884,13.595637870630739,-2.9206253600648657,,"[100.0,98.99,98.47,97.54,98.35,96.68,95.0,93.77,95.28,92.23,94.07,93.05,93.16,92.45,91.57,91.98,91.79,93.6,93.76,95.8,94.27,94.14,96.38,94.26,95.66,94.06,93.34,93.78,92.75,93.46,92.42,92.67,92.81,94.19,95.61,94.77,94.43,93.74,93.81,95.41,97.86,98.21,98.86,99.29,100.59,103.41,107.41,107.98,105.38,104.9,103.66,105.25,105.09,105.21,103.35,102.19,104.35,103.05,102.88,102.23,101.6,101.66,101.01,100.62,100.37,99.49,99.79,100.52,96.53,98.02,96.92,96.56,96.86,96.82,96.93,99.2,99.93,104.43,100.83,101.44,102.89,101.77,100.84,100.94,100.57,100.83,100.43,99.86,101.88,103.24]"
LTF ,432.0,259.72,315.25,112199.04,136188.0,23988.959999999992,21.38071769598028,1058.4052734375,0.783252014911473,LTF.NS,LTF.NS,2026-09-03,2026-09-03T13:48+05:30,True,Monitor,55.0,Price is above the 50dma; price is above the 200dma; rsi is in a constructive momentum zone,-0.09779145667782041,11.30841626658452,False,50.59,"Rising P&F column, no fresh breakout yet",True,True,0.2645705608396387,8.080220297151076,-6.048873045695158,,"[100.0,99.94,98.8,100.28,101.89,103.07,102.77,102.62,100.62,98.11,97.97,96.63,96.91,96.29,95.17,93.92,92.18,93.11,95.34,95.99,95.58,98.71,94.56,94.33,93.86,93.06,94.08,92.52,92.74,92.23,91.76,96.28,100.93,100.67,100.34,97.55,97.31,97.7,97.79,100.98,102.41,102.82,106.39,106.33,106.65,110.77,113.17,112.7,107.55,108.4,107.16,108.13,105.59,104.34,103.68,104.16,102.13,102.14,103.04,103.88,102.86,104.88,104.23,102.96,102.33,103.56,104.67,105.13,105.28,105.24,102.1,102.99,103.75,104.1,103.26,101.04,103.81,107.5,104.27,103.61,104.28,103.79,104.53,105.6,105.61,102.87,104.57,102.02,103.99,104.72]"
MUTHOOTFIN ,21.0,2790.08,2945.0,58591.68,61845.0,3253.32,5.552528959743089,153.301025390625,0.2484953858277183,MUTHOOTFIN.NS,MUTHOOTFIN.NS,2026-09-03,2026-09-03T13:48+05:30,True,Risk review,15.0,Rsi is in a constructive momentum zone,-2.138451052068391,-11.435921355500945,False,45.93,"Falling P&F column, wait for reversal",False,False,-1.7670583943872553,-12.873204635926994,-27.416443785309184,,"[100.0,99.06,98.86,100.09,98.83,99.14,99.16,97.57,95.86,95.83,99.61,99.16,93.44,92.93,92.47,92.17,91.39,91.93,92.63,91.53,90.78,93.16,91.57,91.97,91.25,89.49,89.36,84.81,84.52,83.09,83.52,85.88,88.01,87.67,88.06,87.55,85.91,88.06,86.2,86.24,83.85,84.05,83.03,80.2,80.74,83.73,85.61,85.25,85.37,83.51,84.46,82.41,81.73,81.51,81.2,81.26,80.59,82.95,82.73,82.94,82.2,82.23,81.74,81.32,81.34,83.98,76.99,76.79,77.37,77.83,77.51,77.4,77.61,76.38,76.19,75.86,77.02,77.43,76.48,79.1,80.4,85.32,84.74,85.04,81.89,81.85,78.5,77.59,79.02,79.14]"
LUPIN ,30.0,2295.08,2144.699951171875,68852.4,64340.99853515625,-4511.401464843744,-6.552279172321872,-249.00146484375,-0.3855108605724577,LUPIN.NS,LUPIN.NS,2026-09-03,2026-09-03T13:48+05:30,True,Risk review,0.0,Relative strength is below its 50-day average; rsi is weak or oversold; p&f shows a bearish breakdown,-9.0699780786891,-8.599691025743006,False,29.35,Bearish P&F breakdown,False,False,-8.630458414243336,-4.453521787837911,-14.71289934849559,,"[100.0,98.81,99.24,99.84,101.11,100.8,102.81,102.1,98.7,94.36,96.26,94.42,95.13,96.35,95.41,96.04,95.49,95.7,95.46,94.75,93.39,93.75,94.8,95.76,95.16,96.18,95.28,96.41,96.74,95.98,96.62,98.56,97.12,94.96,94.59,94.07,96.04,96.95,96.12,97.73,97.86,97.43,100.54,100.52,98.95,98.54,101.8,101.98,101.92,102.13,102.57,101.07,100.75,100.37,101.06,101.66,100.35,101.18,102.38,99.12,99.76,98.58,98.96,98.17,99.63,98.91,98.23,96.3,97.44,96.53,96.91,95.79,92.57,91.65,91.52,90.09,90.14,91.02,90.24,89.93,88.6,88.51,87.9,87.02,87.55,86.56,86.89,87.16,86.89,87.09]"
MAPMYINDIA ,36.0,1882.66,971.7000122070312,67775.76000000001,34981.200439453125,-32794.559560546884,-48.38685624557641,-392.398681640625,-1.109298152832383,MAPMYINDIA.NS,MAPMYINDIA.NS,2026-09-03,2026-09-03T13:48+05:30,True,Risk review,0.0,Relative strength is below its 50-day average,-5.913827370378765,8.283528791476137,False,43.5,"Falling P&F column, wait for reversal",False,False,-5.5922655989251835,-15.19298277181429,-50.00246527913429,,"[100.0,100.04,99.88,101.38,101.43,100.52,100.75,99.48,112.96,108.41,109.61,107.39,107.64,99.75,101.77,95.54,94.11,90.29,89.95,87.1,87.3,85.93,89.18,87.56,87.02,88.33,90.97,90.48,93.28,92.76,91.6,89.43,90.48,91.78,92.37,92.17,91.94,91.72,90.6,89.28,87.63,85.59,84.38,87.54,94.15,96.74,97.2,98.09,97.01,109.85,109.98,120.09,120.16,119.52,120.16,119.94,111.49,108.46,107.07,112.12,115.65,115.73,115.89,117.9,120.48,119.66,119.81,115.05,105.61,108.62,102.63,98.98,101.75,99.79,99.33,99.66,99.76,102.21,101.69,101.2,98.75,96.47,96.3,100.89,97.85,96.5,100.77,100.72,99.71,98.51]"
APOLLO ,117.0,412.97,385.3999938964844,48317.490000000005,45091.79928588867,-3225.6907141113334,-6.676031213772349,321.75,0.7186724275092926,APOLLO.NS,APOLLO.NS,2026-09-03,2026-09-03T13:48+05:30,True,Risk review,25.0,Price is above the 200dma; relative strength is below its 50-day average; rsi is in a constructive momentum zone,-3.1211776883667164,-13.290624473990952,False,46.72,"Falling P&F column, wait for reversal",False,True,-2.734199387551739,25.313666543705104,-14.387290691314536,,"[100.0,96.94,98.03,96.95,100.95,100.28,99.46,102.65,101.24,96.3,98.81,98.06,94.99,100.36,108.98,113.54,114.45,113.16,128.82,129.39,131.1,130.26,130.29,140.81,132.06,135.25,136.47,133.06,133.4,130.39,126.09,132.08,134.2,137.76,138.4,134.13,136.05,132.92,128.51,124.38,121.75,129.44,134.47,131.7,137.51,140.97,132.17,125.15,124.48,124.33,126.11,124.05,125.7,125.0,123.39,123.58,121.29,120.25,126.11,124.54,124.02,122.04,117.38,117.98,116.82,119.96,120.94,121.77,122.01,124.15,123.79,118.19,118.24,115.27,118.0,120.05,117.95,118.6,118.22,117.72,116.93,117.03,117.88,117.59,117.21,117.26,116.31,115.84,117.63,118.33]"
